O1x,O2x,O3x,O4x,O5x,O1y,O2y,O3y,O4y,O5y,Rshot
-4.27,-21.6,23.25,9.83,6.01,15.19,42.1,40.12,26.99,17.74,3
7.96,3.51,22.93,-22.89,-17.81,23.52,11.39,38.29,40.59,22.24,3
-23.25,-8.49,-4.33,-7.49,18.94,29.35,27.39,32.79,42.33,24.8,3
1.62,-6.26,0.69,23.17,-13.29,35.9,40.29,32.02,42.41,22.65,3
12.88,-22.57,20.02,-4.1,-1.46,24.34,35.05,33.87,17.73,32.41,3
-9.12,-21.46,22.81,5.82,1.04,42.98,40.06,38.75,15.54,31.96,3
-12.32,-5.72,-17.24,5.1,-22.55,45.99,16.56,24.14,38.53,41.83,3
3.15,6.24,-22.88,-11.28,22.33,17.85,28.55,39.32,20.09,38.59,3
20.46,-16.27,22.19,2.58,-6.98,28.05,22.67,43.42,22.28,44.12,3
-15.01,22.74,-20.75,6.28,2.89,8.74,37.2,19.23,48.7,20.01,3
21.36,-2.61,-0.33,-20.02,-0.35,28.01,47.43,34.34,38.07,40.81,3
-5.69,-23.1,-2.73,5.79,-13.06,42.67,39.29,27.91,41.32,20.91,3
13.89,-22.35,23.39,-3.59,10.46,18.55,33.89,38.42,42.51,39.41,3
-4.97,22.68,-22.79,4.38,-11.23,41.19,36.48,41.14,37.65,16.6,3
16.34,-5.09,-3.36,-7.36,-21.05,21.47,39.77,45.22,18.82,26.6,3
-21.37,-3.91,6.0,11.2,-8.73,24.1,33.83,24.29,17.14,16.44,3
23.52,-11.19,22.09,13.68,-6.21,41.35,17.49,23.22,25.57,41.77,3
-5.92,0.01,-22.27,0.31,21.89,38.59,26.32,38.06,16.53,34.95,3
20.41,-7.1,-11.12,22.75,13.26,28.64,18.86,33.58,39.12,20.49,3
-6.91,-13.22,-1.2,22.69,14.3,16.12,42.2,32.83,41.69,17.91,3
16.44,-7.89,-22.31,13.77,-8.58,22.51,18.4,33.92,42.48,33.84,3
-9.05,-19.78,-22.87,22.56,12.21,17.81,18.85,36.0,38.51,21.27,3
8.66,20.49,-12.61,-23.08,5.03,13.58,28.71,19.56,41.68,48.64,3
12.04,-3.66,7.58,-7.35,23.32,20.41,15.92,42.81,36.74,39.77,3
-20.39,-5.95,22.45,-22.79,2.59,27.23,21.08,38.06,41.28,19.83,3
-6.33,22.42,6.7,-14.33,-0.49,17.54,40.45,39.66,36.5,36.03,3
-18.43,20.59,22.3,9.28,-13.81,17.54,25.11,41.56,29.28,40.32,3
12.86,-22.88,-9.86,20.7,20.34,21.98,40.57,18.94,33.46,43.51,3
-22.25,-13.75,7.25,-10.58,-8.58,37.75,16.92,31.92,37.42,9.92,3
-19.08,-13.78,18.18,-22.75,3.95,24.04,39.26,37.25,43.03,15.26,3
-11.49,0.1,22.22,-22.47,0.63,29.01,16.79,38.65,37.42,39.19,3
21.63,21.93,2.21,8.54,-22.68,24.79,40.54,19.86,20.54,35.93,3
